label,category,cost,throughput_kinfs,latency_ms,embed_gb,gpu,cpu,num_gpus,num_nodes,cgra,interconnect,bottleneck
4x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,5100,1082.781521974643,7.291785925745151,16,RTX 4060,Xeon-6ch,1,4,,PCIe4,CPU embed
4x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,5100,1082.781521974643,6.439817925745151,16,RTX 4060,Xeon-6ch,1,4,,PCIe5,CPU embed
4x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,5100,1082.781521974643,5.648434316856262,16,RTX 4060,Xeon-6ch,1,4,,NVLink,CPU embed
8x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,9900,2143.1638813311883,5.4201290896557675,16,RTX 4060,Xeon-6ch,1,8,,PCIe4,CPU embed
8x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,9900,2143.1638813311883,4.568161089655767,16,RTX 4060,Xeon-6ch,1,8,,PCIe5,CPU embed
8x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,9900,2143.1638813311883,3.7767774807668784,16,RTX 4060,Xeon-6ch,1,8,,NVLink,CPU embed
16x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,19500,2269.2520775623266,4.4745199109790885,16,RTX 4060,Xeon-6ch,1,16,,PCIe4,GPU MLP
16x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,19500,2269.2520775623266,3.622551910979089,16,RTX 4060,Xeon-6ch,1,16,,PCIe5,GPU MLP
16x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,19500,2269.2520775623266,2.8311683020902,16,RTX 4060,Xeon-6ch,1,16,,NVLink,GPU MLP
1x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,1900,276.3832658569501,17.473936,16,RTX PRO 4500,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,1900,276.3832658569501,16.621968,16,RTX PRO 4500,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,1900,276.3832658569501,15.83058439111111,16,RTX PRO 4500,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,3100,547.0490775542089,10.141381218466918,16,RTX PRO 4500,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,3100,547.0490775542089,9.289413218466919,16,RTX PRO 4500,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,3100,547.0490775542089,8.49802960957803,16,RTX PRO 4500,Xeon-6ch,1,2,,NVLink,CPU embed
4x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,5500,1082.781521974643,6.436785925745151,16,RTX PRO 4500,Xeon-6ch,1,4,,PCIe4,CPU embed
4x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,5500,1082.781521974643,5.584817925745151,16,RTX PRO 4500,Xeon-6ch,1,4,,PCIe5,CPU embed
4x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,5500,1082.781521974643,4.793434316856262,16,RTX PRO 4500,Xeon-6ch,1,4,,NVLink,CPU embed
8x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,10300,2143.1638813311883,4.565129089655767,16,RTX PRO 4500,Xeon-6ch,1,8,,PCIe4,CPU embed
8x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,10300,2143.1638813311883,3.7131610896557676,16,RTX PRO 4500,Xeon-6ch,1,8,,PCIe5,CPU embed
8x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,10300,2143.1638813311883,2.9217774807668784,16,RTX PRO 4500,Xeon-6ch,1,8,,NVLink,CPU embed
16x6-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,19900,2403.846153846154,3.619519910979089,16,RTX PRO 4500,Xeon-6ch,1,16,,PCIe4,transfer
16x6-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,19900,4241.992801896121,2.7675519109790887,16,RTX PRO 4500,Xeon-6ch,1,16,,PCIe5,CPU embed
16x6-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,19900,4241.992801896121,1.9761683020902,16,RTX PRO 4500,Xeon-6ch,1,16,,NVLink,CPU embed
1x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,3000,276.3832658569501,16.964179902439025,16,RTX 4090,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,3000,276.3832658569501,16.11221190243902,16,RTX 4090,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,3000,276.3832658569501,15.320828293550134,16,RTX 4090,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,4200,547.0490775542089,9.631625120905943,16,RTX 4090,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,4200,547.0490775542089,8.779657120905943,16,RTX 4090,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,4200,547.0490775542089,7.988273512017055,16,RTX 4090,Xeon-6ch,1,2,,NVLink,CPU embed
4x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,6600,1082.781521974643,5.927029828184176,16,RTX 4090,Xeon-6ch,1,4,,PCIe4,CPU embed
4x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,6600,1082.781521974643,5.075061828184175,16,RTX 4090,Xeon-6ch,1,4,,PCIe5,CPU embed
4x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,6600,1082.781521974643,4.283678219295286,16,RTX 4090,Xeon-6ch,1,4,,NVLink,CPU embed
8x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,11400,2143.1638813311883,4.055372992094791,16,RTX 4090,Xeon-6ch,1,8,,PCIe4,CPU embed
8x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,11400,2143.1638813311883,3.203404992094792,16,RTX 4090,Xeon-6ch,1,8,,PCIe5,CPU embed
8x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,11400,2143.1638813311883,2.4120213832059028,16,RTX 4090,Xeon-6ch,1,8,,NVLink,CPU embed
16x6-ch DDR5+RTX 4090@PCIe4,CPU+GPU,21000,2403.846153846154,3.1097638134181134,16,RTX 4090,Xeon-6ch,1,16,,PCIe4,transfer
16x6-ch DDR5+RTX 4090@PCIe5,CPU+GPU,21000,4241.992801896121,2.257795813418113,16,RTX 4090,Xeon-6ch,1,16,,PCIe5,CPU embed
16x6-ch DDR5+RTX 4090@NVLink,CPU+GPU,21000,4241.992801896121,1.466412204529224,16,RTX 4090,Xeon-6ch,1,16,,NVLink,CPU embed
1x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,3700,276.3832658569501,16.86774552380952,16,RTX 5090,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,3700,276.3832658569501,16.015777523809522,16,RTX 5090,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,3700,276.3832658569501,15.224393914920634,16,RTX 5090,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,4900,547.0490775542089,9.535190742276443,16,RTX 5090,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,4900,547.0490775542089,8.683222742276444,16,RTX 5090,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,4900,547.0490775542089,7.891839133387554,16,RTX 5090,Xeon-6ch,1,2,,NVLink,CPU embed
4x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,7300,1082.781521974643,5.830595449554675,16,RTX 5090,Xeon-6ch,1,4,,PCIe4,CPU embed
4x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,7300,1082.781521974643,4.978627449554675,16,RTX 5090,Xeon-6ch,1,4,,PCIe5,CPU embed
4x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,7300,1082.781521974643,4.1872438406657855,16,RTX 5090,Xeon-6ch,1,4,,NVLink,CPU embed
8x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,12100,2143.1638813311883,3.9589386134652913,16,RTX 5090,Xeon-6ch,1,8,,PCIe4,CPU embed
8x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,12100,2143.1638813311883,3.1069706134652915,16,RTX 5090,Xeon-6ch,1,8,,PCIe5,CPU embed
8x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,12100,2143.1638813311883,2.315587004576402,16,RTX 5090,Xeon-6ch,1,8,,NVLink,CPU embed
16x6-ch DDR5+RTX 5090@PCIe4,CPU+GPU,21700,2403.846153846154,3.013329434788613,16,RTX 5090,Xeon-6ch,1,16,,PCIe4,transfer
16x6-ch DDR5+RTX 5090@PCIe5,CPU+GPU,21700,4241.992801896121,2.1613614347886125,16,RTX 5090,Xeon-6ch,1,16,,PCIe5,CPU embed
16x6-ch DDR5+RTX 5090@NVLink,CPU+GPU,21700,4241.992801896121,1.3699778258997235,16,RTX 5090,Xeon-6ch,1,16,,NVLink,CPU embed
1x6-ch DDR5+A100 40GB@PCIe4,CPU+GPU,11200,276.3832658569501,16.764602666666665,16,A100 40GB,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+A100 40GB@PCIe5,CPU+GPU,11200,276.3832658569501,15.912634666666664,16,A100 40GB,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+A100 40GB@NVLink,CPU+GPU,11200,276.3832658569501,15.121251057777776,16,A100 40GB,Xeon-6ch,1,1,,NVLink,CPU embed
